hx=-inf  hy=-nan  r=-inf
hx=-4.64229e+06  hy=-97235.3  r=-35701.8
hx=1.02902e+07  hy=360790  r=79148.6
hx=2.1867e+06  hy=173758  r=16801.7
hx=461648  hy=130654  r=3515.86
hx=332164  hy=131034  r=2514.64
hx=341987  hy=133033  r=2588.57
hx=316488  hy=133861  r=2389.14
hx=190524  hy=131471  r=1410.34
hx=179403  hy=131810  r=1322.31
hx=157704  hy=131522  r=1151.66
hx=108311  hy=129959  r=762.078
hx=102445  hy=129999  r=714.525
hx=92200.1  hy=129686  r=632.359
hx=82015  hy=129390  r=549.697
hx=65545.4  hy=128956  r=412.946
hx=63857.3  hy=129071  r=397.451
hx=56542.5  hy=128743  r=334.98
hx=54156.8  hy=128785  r=313.383
hx=53920.1  hy=128850  r=310.678
hx=53188.1  hy=128848  r=303.923
hx=51936.1  hy=128776  r=292.895
hx=49276  hy=128603  r=269.075
hx=48742.8  hy=128587  r=264.079
hx=48085.9  hy=128557  r=257.953
hx=47129.9  hy=128481  r=249.324
hx=45079  hy=128292  r=230.573
hx=44635.3  hy=128259  r=226.378
hx=43991.6  hy=128194  r=220.51
hx=43188.6  hy=128101  r=213.27
hx=42374.1  hy=128010  r=205.797
hx=40871.2  hy=127836  r=191.516
hx=40529.1  hy=127800  r=188.176
hx=39744.1  hy=127704  r=180.526
hx=39558.7  hy=127684  r=178.678
hx=39146.2  hy=127634  r=174.553
hx=38973.6  hy=127616  r=172.727
hx=38902  hy=127611  r=171.915
hx=38872.9  hy=127610  r=171.554
hx=38867.1  hy=127610  r=171.474
hx=38849.5  hy=127610  r=171.258
hx=38842.5  hy=127610  r=171.161
hx=38839.9  hy=127610  r=171.12
hx=38839.1  hy=127610  r=171.102
hx=38839  hy=127610  r=171.099
hx=38838.6  hy=127610  r=171.088
hx=38838.4  hy=127611  r=171.084
hx=38838.3  hy=127611  r=171.081
hx=38838.4  hy=127611  r=171.081
hx=38838.6  hy=127611  r=171.082
hx=38838.6  hy=127611  r=171.081
hx=38838.6  hy=127611  r=171.081
hx=38838.6  hy=127611  r=171.081
hx=38838.6  hy=127611  r=171.081
hx=38838.6  hy=127611  r=171.081
hx=38838.5  hy=127611  r=171.08
hx=38838.6  hy=127611  r=171.081
hx=38838.4  hy=127611  r=171.079
hx=38838.4  hy=127611  r=171.079
hx=38838.3  hy=127611  r=171.078
hx=38838.3  hy=127611  r=171.078
hx=38838.2  hy=127611  r=171.077
hx=38838.3  hy=127611  r=171.078
hx=38838.4  hy=127611  r=171.078
hx=38838.2  hy=127611  r=171.077
hx=38838.2  hy=127611  r=171.077
hx=38838.2  hy=127611  r=171.077
hx=38838.2  hy=127611  r=171.077
hx=38838.1  hy=127611  r=171.076
hx=38838.2  hy=127611  r=171.077
hx=38838.2  hy=127611  r=171.077
hx=38838.2  hy=127611  r=171.077
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=38838.1  hy=127611  r=171.076
hx=inf  hy=127611  r=171.076
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
hx=-nan  hy=-nan  r=-nan
